ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM,IDADE
513,6,9,8,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1523,21,41,43,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
387,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
2095,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2355,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1959,83,43,14,164,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1696,0,0,0,0,NAO,ASSINANTE,M,1958-08-13,DE 4SM ATE 8SM,63.36
680,0,19,7,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
595,44,24,0,108,SIM,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
2443,16,14,15,4,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
2268,18,5,11,9,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
390,5,11,0,77,SIM,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
3581,52,31,20,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
1426,9,46,0,275,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
334,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
1999,232,57,382,970,SIM,ASSINANTE,M,2000-01-01,DE 2SM ATE 3SM,21.95
740,12,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1077,4,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
3008,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3051,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
1844,20,58,286,0,NAO,ASSINANTE,F,1972-03-17,DE 3SM ATE 4SM,49.76
2771,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3134,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 14SM ATE 25SM,21.95
3128,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
763,74,29,13,9,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
3034,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3707,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2266,0,0,0,0,NAO,ASSINANTE,F,1977-11-25,DE 4SM ATE 8SM,44.06
583,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2212,23,25,11,42,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2294,1,4,4,0,NAO,ASSINANTE,M,2000-01-01,ACIMA DE 25SM,21.95
357,54,37,37,10,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
2780,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2997,0,1,2,0,NAO,ASSINANTE,M,1985-06-05,DE 8SM ATE 14SM,36.53
3074,0,14,6,1,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
