ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP
3390,0,0,0,0,NAO
524,0,0,0,0,NAO
2745,0,4,3,0,NAO
5,2,0,0,0,NAO
992,32,26,0,130,SIM
1316,16,19,38,0,NAO
1362,0,0,0,0,NAO
2791,0,0,0,0,NAO
796,0,0,0,0,NAO
1624,0,0,0,0,NAO
2480,2,6,0,24,SIM
3494,36,20,2,32,SIM
3672,0,0,0,0,NAO
2070,38,16,22,37,SIM
428,0,11,10,2,SIM
3492,1,18,10,0,NAO
1062,0,0,0,0,NAO
1398,14,0,0,0,NAO
1989,2,32,18,96,SIM
2503,0,0,0,0,NAO
1686,0,0,0,0,NAO
2303,26,3,0,55,SIM
1706,5,13,0,41,SIM
2829,0,0,0,0,NAO
2741,0,0,0,0,NAO
780,0,0,0,0,NAO
21,0,0,0,0,NAO
2870,0,0,0,0,NAO
2704,14,6,8,0,NAO
3064,0,52,318,533,SIM
2013,0,1,0,1,NAO
478,0,0,0,0,NAO
904,0,0,0,0,NAO
1159,50,35,99,8,NAO
2740,12,48,71,204,SIM
3683,0,0,0,0,NAO
3694,0,0,0,0,NAO
1645,20,30,104,0,NAO
3588,4,17,27,1,NAO
1771,0,0,0,0,NAO
1747,0,0,0,0,NAO
98,0,27,7,50,NAO
644,0,0,0,0,NAO
332,18,7,0,46,SIM
3095,0,0,0,0,NAO
1882,20,11,12,3,NAO
306,11,18,15,10,NAO
511,17,0,0,0,NAO
3110,0,41,17,0,NAO
2568,0,0,0,0,NAO
211,0,0,0,0,NAO
227,0,0,0,0,NAO
1434,25,37,8,99,SIM
3135,88,22,11,2,NAO
1874,3,5,0,18,SIM
1713,0,0,0,0,NAO
3036,14,20,5,37,SIM
2635,0,0,0,0,NAO
1266,0,0,0,0,NAO
180,0,0,0,0,NAO
2121,0,0,0,0,NAO
2925,0,20,4,1,NAO
1905,0,1,2,0,NAO
3780,0,0,0,0,NAO
246,33,22,2,202,SIM
785,0,0,0,0,NAO
1906,53,60,289,495,SIM
3196,0,0,0,0,NAO
2274,39,16,4,0,NAO
2944,0,0,0,0,NAO
2634,0,5,5,0,NAO
2251,0,0,0,0,NAO
968,0,0,0,0,NAO
3749,0,48,579,417,SIM
2239,5,30,47,29,SIM
2775,0,12,17,1,NAO
1545,0,0,0,0,NAO
2286,0,22,0,122,SIM
2090,0,0,0,0,NAO
1126,0,0,0,0,NAO
1361,7,58,159,219,NAO
2973,0,0,0,0,NAO
851,0,0,0,0,NAO
895,0,9,5,1,NAO
171,6,20,30,2,SIM
1250,0,0,0,0,NAO
3621,0,0,0,0,NAO
3753,16,0,0,0,NAO
1217,0,0,0,0,NAO
3557,1,4,9,0,NAO
3370,92,38,27,8,SIM
2322,0,0,0,0,NAO
1971,0,0,0,0,NAO
1365,0,1,1,0,NAO
1112,3,0,0,0,NAO
178,0,0,0,0,NAO
202,0,1,0,0,NAO
3124,0,0,0,0,NAO
2935,30,11,14,0,NAO
3447,0,5,5,0,NAO
2593,0,0,0,0,NAO
2016,2,11,14,3,NAO
1184,0,0,0,0,NAO
540,5,39,0,50,SIM
449,12,3,2,11,NAO
2067,0,1,2,0,NAO
182,3,2,5,0,NAO
790,12,11,0,93,SIM
1932,0,0,0,0,NAO
3489,1,12,0,83,SIM
2372,0,0,0,0,NAO
2931,7,5,5,0,NAO
2011,0,7,4,0,NAO
3199,7,59,152,327,NAO
430,12,42,132,51,NAO
1752,0,0,0,0,NAO
2190,0,0,0,0,NAO
590,0,0,0,0,NAO
667,4,1,0,13,SIM
1876,0,0,0,0,NAO
1668,0,3,5,0,NAO
2949,4,38,135,0,NAO
3679,0,0,0,0,NAO
746,32,19,10,2,NAO
876,0,0,0,0,NAO
1423,0,0,0,0,NAO
3742,0,21,7,16,NAO
2187,15,41,151,2,NAO
776,0,0,0,0,NAO
167,0,0,0,0,NAO
3684,42,39,16,85,NAO
3598,6,5,8,7,NAO
1298,0,0,0,0,NAO
919,30,34,130,210,SIM
2085,0,0,0,0,NAO
556,0,56,520,18,NAO
3245,3,3,0,9,SIM
2019,12,44,100,0,NAO
2142,0,0,0,0,NAO
2438,0,5,6,4,NAO
2810,8,28,3,83,SIM
765,0,0,0,0,NAO
1790,5,3,1,7,SIM
994,0,0,0,0,NAO
3296,6,47,133,10,NAO
1161,0,0,0,0,NAO
112,0,0,0,0,NAO
3261,0,4,0,34,SIM
2595,7,16,15,0,NAO
1638,0,0,0,0,NAO
3471,14,24,0,85,SIM
1897,0,0,0,0,NAO
424,1,4,5,2,NAO
3009,0,0,0,0,NAO
2344,0,0,0,0,NAO
2654,0,0,0,0,NAO
1301,12,0,0,0,NAO
2756,0,0,0,0,NAO
2440,9,34,77,2,NAO
2219,0,0,0,0,NAO
2253,0,0,0,0,NAO
1353,3,14,12,1,NAO
890,0,6,9,5,NAO
297,12,1,0,11,SIM
1754,10,50,268,6,NAO
1751,0,0,0,0,NAO
3551,0,38,7,66,NAO
850,0,0,0,0,NAO
17,19,16,38,41,NAO
1408,0,0,0,0,NAO
3772,0,0,0,0,NAO
2018,3,40,0,274,SIM
1524,0,0,0,0,NAO
2639,0,0,0,0,NAO
2026,8,10,19,0,NAO
3077,10,34,197,1,NAO
2172,4,40,85,26,SIM
1562,0,0,0,0,NAO
2983,0,0,0,0,NAO
2317,0,0,0,0,NAO
3514,0,51,0,276,SIM
2406,0,0,0,0,NAO
2468,0,0,0,0,NAO
2580,0,0,0,0,NAO
1717,0,0,0,0,NAO
3063,22,2,0,21,SIM
1024,0,0,0,0,NAO
3023,0,16,0,40,SIM
2233,0,3,3,0,NAO
965,11,2,0,16,SIM
1430,0,1,0,0,NAO
2880,0,0,0,0,NAO
956,0,0,0,0,NAO
1407,0,1,1,0,NAO
3304,0,0,0,0,NAO
2153,0,0,0,0,NAO
1542,0,0,0,0,NAO
1357,0,0,0,0,NAO
1662,4,4,5,0,NAO
24,172,58,81,0,NAO
2989,3,23,2,178,SIM
758,0,0,0,0,NAO
32,0,0,0,0,NAO
645,10,9,0,38,SIM
3065,0,0,0,0,NAO
869,1,4,4,0,NAO
405,32,18,0,102,SIM
543,0,0,0,0,NAO
3409,4,8,1,77,SIM
3567,7,56,410,1366,SIM
3389,0,0,0,0,NAO
2510,28,4,3,0,NAO
1447,0,0,0,0,NAO
2334,0,0,0,0,NAO
2332,1,0,0,0,NAO
2245,0,7,9,0,NAO
1649,14,6,6,0,NAO
198,0,2,4,3,NAO
696,0,0,0,0,NAO
1741,0,3,3,6,NAO
1935,21,32,61,0,NAO
838,0,56,171,266,NAO
3244,14,13,22,2,NAO
482,46,20,31,7,NAO
623,1,4,0,54,SIM
728,0,0,0,0,NAO
704,0,0,0,0,NAO
3529,0,0,0,0,NAO
2466,0,0,0,0,NAO
2350,0,0,0,0,NAO
2942,5,4,0,9,SIM
2176,0,0,0,0,NAO
3572,1,1,0,0,NAO
2920,0,0,0,0,NAO
2139,0,0,0,0,NAO
228,30,19,1,74,SIM
3433,5,21,23,6,NAO
2529,0,0,0,0,NAO
3606,0,0,0,0,NAO
2528,1,0,0,0,NAO
1232,99,39,24,0,NAO
2841,6,15,16,1,NAO
3290,0,16,25,0,NAO
2712,12,46,148,2,NAO
2066,5,4,0,12,SIM
2592,0,0,0,0,NAO
1256,0,0,0,0,NAO
295,4,1,0,0,NAO
1824,0,0,0,0,NAO
1845,0,0,0,0,NAO
2917,2,51,13,254,SIM
2181,0,0,0,0,NAO
289,7,25,22,18,NAO
1154,25,27,41,3,NAO
436,0,0,0,0,NAO
2476,0,0,0,0,NAO
3263,2,7,14,2,NAO
2222,0,0,0,0,NAO
1831,0,12,6,15,NAO
773,0,0,0,0,NAO
2948,0,0,0,0,NAO
1035,0,11,8,0,NAO
1020,14,60,524,908,SIM
3126,1,7,7,0,NAO
578,0,10,6,1,NAO
1513,57,32,77,133,SIM
7,0,37,15,39,NAO
1189,18,11,10,0,NAO
2091,0,0,0,0,NAO
3258,0,0,0,0,NAO
3367,16,24,0,151,SIM
1950,0,1,1,0,NAO
3371,2,54,149,433,SIM
734,3,13,26,5,NAO
2053,0,0,0,0,NAO
3361,0,0,0,0,NAO
3698,23,11,1,76,SIM
3233,43,17,15,50,NAO
716,1,0,0,0,NAO
1001,13,19,12,3,NAO
213,1,0,0,0,NAO
1626,15,44,39,304,SIM
3118,33,23,36,14,NAO
1325,0,0,0,0,NAO
3448,8,2,0,6,SIM
218,12,6,7,0,NAO
292,9,0,0,0,NAO
38,0,0,0,0,NAO
646,0,0,0,0,NAO
1074,32,57,146,304,SIM
1053,17,18,22,0,NAO
966,0,9,12,0,NAO
2183,2,20,63,142,SIM
3225,46,33,30,75,NAO
1512,0,0,0,0,NAO
1836,4,0,0,0,NAO
861,0,0,0,0,NAO
852,0,0,0,0,NAO
3114,0,0,0,0,NAO
181,0,0,0,0,NAO
854,0,0,0,0,NAO
932,0,0,0,0,NAO
1521,0,0,0,0,NAO
3360,96,59,0,446,SIM
1895,0,0,0,0,NAO
97,11,0,0,0,NAO
2902,0,15,21,39,NAO
2955,0,0,0,0,NAO
3151,33,17,1,78,SIM
2956,2,3,0,24,SIM
3472,0,0,0,0,NAO
2849,0,1,1,0,NAO
131306,0,59,537,691,SIM
98041,0,1,0,1,SIM
27252,0,1,0,0,NAO
369221,8,8,7,3,NAO
137927,0,1,1,0,NAO
367566,29,47,0,124,SIM
361892,5,2,0,14,SIM
226414,0,1,1,0,NAO
233887,0,10,13,0,NAO
211755,8,7,9,0,NAO
369417,0,1,1,0,NAO
262517,0,1,0,1,NAO
116096,0,7,4,0,NAO
126265,14,26,8,72,SIM
369747,0,22,32,0,NAO
32099,46,21,9,4,NAO
124544,20,7,10,1,NAO
369394,0,43,105,216,SIM
226827,0,2,0,0,NAO
188051,0,1,2,0,NAO
175103,0,5,4,0,NAO
363557,29,27,5,132,SIM
358980,0,2,0,0,NAO
289172,0,4,4,1,NAO
