ID,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
1523,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
387,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
2095,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2355,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1959,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1696,ASSINANTE,M,13/08/1958 00:00:00,DE 4SM ATE 8SM
1300,ASSINANTE,F,01/01/2000 00:00:00,
680,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
595,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
1015,ASSINANTE,M,01/01/2000 00:00:00,
1273,ASSINANTE,F,01/01/2000 00:00:00,
431,ASSINANTE,M,01/01/2000 00:00:00,
44,ASSINANTE,M,01/01/2000 00:00:00,
3542,ASSINANTE,M,01/01/2000 00:00:00,
3762,ASSINANTE,M,01/01/2000 00:00:00,
2443,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
2268,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1938,ASSINANTE,M,01/01/2000 00:00:00,
1400,ASSINANTE,F,01/01/2000 00:00:00,
390,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
3581,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
1426,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
334,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
1999,ASSINANTE,M,01/01/2000 00:00:00,DE 2SM ATE 3SM
2197,ASSINANTE,M,01/01/2000 00:00:00,
740,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
1077,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3008,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3051,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
1844,ASSINANTE,F,17/03/1972 00:00:00,DE 3SM ATE 4SM
3516,ASSINANTE,M,,DE 14SM ATE 25SM
2771,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3134,ASSINANTE,F,01/01/2000 00:00:00,DE 14SM ATE 25SM
2789,ASSINANTE,M,,DE 3SM ATE 4SM
3128,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3183,ASSINANTE,M,01/01/2000 00:00:00,
763,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3262,ASSINANTE,M,01/01/2000 00:00:00,
3034,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3493,ASSINANTE,M,,DE 3SM ATE 4SM
642,ASSINANTE,M,01/01/2000 00:00:00,
313,ASSINANTE,M,01/01/2000 00:00:00,
1746,ASSINANTE,M,24/12/1956 00:00:00,
3154,ASSINANTE,M,01/01/2000 00:00:00,
3707,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
772,ASSINANTE,F,01/01/2000 00:00:00,
982,ASSINANTE,M,01/01/2000 00:00:00,
2266,ASSINANTE,F,25/11/1977 00:00:00,DE 4SM ATE 8SM
583,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
831,ASSINANTE,M,01/01/2000 00:00:00,
2212,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2294,ASSINANTE,M,01/01/2000 00:00:00,ACIMA DE 25SM
357,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
2780,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
2997,ASSINANTE,M,06/05/1985 00:00:00,DE 8SM ATE 14SM
3074,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3148,ASSINANTE,M,14/05/1976 00:00:00,DE 3SM ATE 4SM
1034,ASSINANTE,F,01/01/2000 00:00:00,
3442,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
1255,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
2547,ASSINANTE,M,01/01/2000 00:00:00,
3306,ASSINANTE,M,01/01/2000 00:00:00,
828,ASSINANTE,M,06/09/1989 00:00:00,DE 4SM ATE 8SM
1143,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
2776,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3665,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
820,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3440,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3552,ASSINANTE,M,04/03/1996 00:00:00,DE 8SM ATE 14SM
1140,ASSINANTE,F,01/01/2000 00:00:00,DE 8SM ATE 14SM
3533,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
