PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
True,3,5,0,False,18,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,20,4,True,1,False,21.95,3
True,0,1,2,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,53,60,289,False,495,True,54.87,3
True,39,16,4,True,0,False,21.95,3
True,0,5,5,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,4
True,7,58,159,False,219,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,9,5,True,1,False,39.35,3
True,6,20,30,True,2,True,21.95,4
True,0,0,0,False,0,False,78.19,5
True,0,0,0,False,0,False,21.95,3
True,16,0,0,False,0,False,21.95,3
True,1,4,9,True,0,False,21.95,4
True,92,38,27,False,8,True,54.44,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,1,1,False,0,False,21.95,3
True,3,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,30,11,14,False,0,False,21.95,3
True,0,5,5,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,2,11,14,False,3,False,21.95,3
True,0,0,0,True,0,False,34.15,4
True,12,3,2,False,11,False,21.95,4
True,0,1,2,False,0,False,79.97,3
True,3,2,5,False,0,False,78.34,4
True,12,11,0,False,93,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,1,12,0,False,83,True,21.95,3
True,7,5,5,False,0,False,21.95,5
True,0,7,4,True,0,False,21.95,3
True,7,59,152,True,327,False,21.95,3
True,4,1,0,True,13,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,3,5,True,0,False,21.95,3
True,4,38,135,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,21,7,False,16,False,21.95,4
True,15,41,151,False,2,False,21.95,3
True,6,5,8,False,7,False,21.95,3
True,30,34,130,False,210,True,21.95,3
True,0,56,520,False,18,False,21.95,4
True,3,3,0,False,9,True,21.95,6
True,12,44,100,False,0,False,21.95,3
True,0,5,6,False,4,False,21.95,3
True,5,3,1,True,7,True,40.38,6
True,6,47,133,False,10,False,21.95,4
True,0,0,0,True,0,False,21.95,3
True,0,4,0,False,34,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,14,24,0,False,85,True,21.95,3
True,0,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,0,6,9,False,5,False,21.95,4
True,12,1,0,False,11,True,21.95,4
True,10,50,268,False,6,False,21.95,4
True,0,38,7,False,66,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,3,40,0,False,274,True,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,4
True,4,40,85,False,26,True,21.95,5
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,16,0,False,40,True,21.95,4
True,11,2,0,False,16,True,21.95,3
True,0,1,0,True,0,False,21.95,5
True,0,0,0,True,0,False,21.95,5
True,0,1,1,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,6
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,4,4,5,False,0,False,21.95,3
True,3,23,2,False,178,True,21.95,4
True,0,0,0,True,0,False,21.95,3
True,32,18,0,False,102,True,21.95,3
True,7,56,410,False,1366,True,47.57,3
True,0,0,0,False,0,False,21.95,6
True,28,4,3,False,0,False,21.95,3
True,0,0,0,True,0,False,29.16,3
True,0,0,0,True,0,False,21.95,3
True,0,7,9,False,0,False,21.95,6
True,0,2,4,False,3,False,21.95,4
True,0,3,3,False,6,False,21.95,5
True,21,32,61,True,0,False,21.95,6
True,0,56,171,False,266,False,58.06,4
True,14,13,22,True,2,False,21.95,3
